Phase,Epoch,LR,Time_Sec,Train_Loss,Val_loss,Val_acc_label_based,Val_acc_subset,Val_f1_macro,Val_precision_macro,Val_recall_macro,Val_auc_macro,Val_f1_Atelectasis,Val_auc_Atelectasis,Val_f1_Cardiomegaly,Val_auc_Cardiomegaly,Val_f1_Effusion,Val_auc_Effusion,Val_f1_Pneumonia,Val_auc_Pneumonia,Val_f1_Normal,Val_auc_Normal
Phase_1,1,0.0001,623.2893598079681,0.5465460979976112,0.5255621334209162,0.7440368380660015,0.07858787413660782,0.12954356333730777,0.25441242872995834,0.09277145900739064,0.6755372365470901,0.0,0.6258575259882161,0.0,0.7169229394008154,0.385872430152873,0.6790482226356868,0.0,0.5987272885793151,0.26184538653366585,0.7571302061314168
Phase_1,2,0.0001,647.5071816444397,0.5188074024505795,0.5125785950644344,0.7503607060629317,0.19263238679969302,0.2603949461042097,0.5111401208681746,0.22754497831317505,0.7179654559564427,0.010392064241851677,0.6799468143122397,0.2940851299060254,0.7736985924596544,0.4948991696322657,0.7099552737190868,0.0,0.6565330216376065,0.5025983667409057,0.769693577653626
Phase_1,3,0.0001,647.7746584415436,0.4997752707149955,0.4871652481310508,0.7668457405986185,0.22900997697620876,0.3832330738049764,0.48159348059299684,0.325046185475554,0.7446886949904701,0.38009630818619583,0.6981261712642087,0.49379432624113473,0.8193819749571961,0.5416479063484917,0.7315670685590975,0.0,0.6888431573041305,0.5006268282490598,0.7855251028677178
Phase_1,4,0.0001,647.5201485157013,0.48588532638725296,0.4877198664288895,0.7665080583269378,0.22302379125095934,0.38351876046213995,0.6153837664310876,0.3247909101919998,0.754160089555582,0.31128684399712436,0.720552795751353,0.5642831983092639,0.8247574451114275,0.5690200210748156,0.738356269679908,0.13830508474576272,0.7123198299453277,0.3346986541837332,0.7748141072898943
Phase_1,5,0.0001,647.3518662452698,0.4771657363912159,0.4714132282955974,0.773384497313891,0.2512663085188028,0.4162564445023563,0.6259341976558911,0.35169160535543054,0.7739041191532687,0.24242424242424243,0.7224589359672254,0.5880539499036609,0.8519887781834684,0.5714285714285714,0.7423846630297446,0.18193717277486912,0.7585412112125054,0.4974382859804378,0.7941470073733996
Phase_1,6,0.0001,647.588629245758,0.46368982585697394,0.4550833567684772,0.7856331542594014,0.27705295471987723,0.4684236161203167,0.6606263912016519,0.37217183140960886,0.788242322997322,0.38205980066445183,0.734658836898805,0.5944170771756979,0.872844029127215,0.5232004013042387,0.759180108653954,0.3333333333333333,0.7747766816563725,0.5091074681238615,0.7997519586502637
Phase_1,7,0.0001,647.9465067386627,0.45067286601076617,0.4662442011576073,0.7825019186492709,0.27720644666155025,0.47215742150784157,0.6642759958513882,0.423529732963784,0.7898429286029686,0.4864406779661017,0.739338666559752,0.624390243902439,0.8634601976194897,0.6100418410041841,0.7668915032219045,0.20554428668018931,0.7869578439734147,0.43437005798629413,0.7925664316402814
Phase_1,8,0.0001,647.5421438217163,0.43710483229874814,0.4305236256297897,0.7986185725249424,0.3115886415963162,0.5301346780777438,0.6909276432822984,0.4519184334966,0.8191186401026409,0.5150355385456533,0.7539298649039559,0.6453900709219859,0.8958649806437416,0.6116568434839554,0.7812129973170713,0.3618933493109647,0.8525574776726139,0.5166975881261595,0.8120278799758218
Phase_1,9,0.0001,647.0411605834961,0.4216841139941311,0.4202149557132347,0.8056178050652341,0.35103607060629316,0.5784182210956923,0.6833562968469263,0.5116235914319047,0.8292649065251905,0.5303807723467459,0.7599141169912688,0.6874557051736357,0.9067493175457778,0.6033296337402886,0.785990862729895,0.5545545545545546,0.8803587654192117,0.5163704396632367,0.8133114699397992
Phase_1,10,0.0001,647.0613150596619,0.40456515774679236,0.42304524677056893,0.8053415195702226,0.3634689178818112,0.5695323870463963,0.6810428622143412,0.5142200420736878,0.8345063994050779,0.3731497418244406,0.7699720082134532,0.6955414012738853,0.9084565188989967,0.595137914913511,0.7929234160167968,0.6536585365853659,0.8928160174752052,0.5301743406347788,0.8083640364209372
